component,item_id,item_label,parameter,value,unit,phase,source,source_type,confidence,notes
staffing_coefficient,pem_500mw:7126,500 MW PEM Electrolyser Plant: Plumbers and Pipe Fitters,headcount_per_unit,200,workers/unit,construction,IRENA 2024,modeled_estimate,,"Demin water, cooling, H2 gas piping. Less extensive than alkaline (no KOH electrolyte circuit)."
staffing_coefficient,pem_500mw:7212,500 MW PEM Electrolyser Plant: Welders and Flame Cutters,headcount_per_unit,10,workers/unit,commissioning,IRENA 2024,modeled_estimate,,Punch-list completion and tie-in welding.
staffing_coefficient,pem_500mw:7212,500 MW PEM Electrolyser Plant: Welders and Flame Cutters,headcount_per_unit,180,workers/unit,construction,IRENA 2024,modeled_estimate,,"Less welding than alkaline � smaller footprint, less high-pressure pipework."
staffing_coefficient,pem_500mw:7212,500 MW PEM Electrolyser Plant: Welders and Flame Cutters,headcount_per_unit,5,workers/unit,operations,IRENA 2024,modeled_estimate,,Maintenance welding for piping repairs.
staffing_coefficient,pem_500mw:7214,500 MW PEM Electrolyser Plant: Structural Metal Workers,headcount_per_unit,130,workers/unit,construction,IRENA 2024,modeled_estimate,,Steel structures and equipment support frames. Reduced vs alkaline due to compact design.
staffing_coefficient,pem_500mw:7223,500 MW PEM Electrolyser Plant: Metal Working Machine Tool Setters and Operators,headcount_per_unit,70,workers/unit,construction,IRENA 2024,modeled_estimate,,On-site fabrication and forming of structural and piping components.
staffing_coefficient,pem_500mw:7233,500 MW PEM Electrolyser Plant: Agricultural and Industrial Machinery Mechanics and Repairers,headcount_per_unit,18,workers/unit,operations,IRENA 2024,modeled_estimate,,"Preventive and corrective maintenance of compressors, pumps, and rotating equipment."
staffing_coefficient,pem_500mw:7413,500 MW PEM Electrolyser Plant: Electrical Line Installers and Repairers,headcount_per_unit,280,workers/unit,construction,IRENA 2024,modeled_estimate,,"HV/LV cabling, rectifier connections. Higher share than alkaline due to more complex power electronics."
staffing_coefficient,pem_500mw:8131,500 MW PEM Electrolyser Plant: Chemical Products Plant and Machine Operators,headcount_per_unit,20,workers/unit,commissioning,IRENA 2024,modeled_estimate,,Water treatment commissioning and BOP system start-up.
staffing_coefficient,pem_500mw:8131,500 MW PEM Electrolyser Plant: Chemical Products Plant and Machine Operators,headcount_per_unit,50,workers/unit,construction,IRENA 2024,modeled_estimate,,Pre-commissioning support and early operator training.
staffing_coefficient,pem_500mw:8131,500 MW PEM Electrolyser Plant: Chemical Products Plant and Machine Operators,headcount_per_unit,25,workers/unit,operations,IRENA 2024,modeled_estimate,,"Water treatment, gas purification, and BOP operators."
staffing_coefficient,pem_500mw:8211,500 MW PEM Electrolyser Plant: Mechanical Machinery Assemblers,headcount_per_unit,160,workers/unit,construction,IRENA 2024,modeled_estimate,,"PEM stack mounting, skid assembly, precision mechanical installation."
staffing_coefficient,pem_500mw:8212,500 MW PEM Electrolyser Plant: Electrical and Electronic Equipment Assemblers,headcount_per_unit,20,workers/unit,commissioning,IRENA 2024,modeled_estimate,,Stack electrical connections verification and final assembly QC.
staffing_coefficient,pem_500mw:8212,500 MW PEM Electrolyser Plant: Electrical and Electronic Equipment Assemblers,headcount_per_unit,300,workers/unit,construction,IRENA 2024,modeled_estimate,,PEM stack assembly is electronics-intensive. Higher share than alkaline due to membrane electrode assembly work.
staffing_coefficient,solar_wind_hybrid_2gw:1120,2 GW Hybrid Solar+Wind Farm (Dedicated RE): Managing Directors and Chief Executives,headcount_per_unit,80,workers/unit,construction,IRENA 2024/CEEW,modeled_estimate,,"Project directors, site managers, and senior leadership."
staffing_coefficient,solar_wind_hybrid_2gw:1120,2 GW Hybrid Solar+Wind Farm (Dedicated RE): Managing Directors and Chief Executives,headcount_per_unit,20,workers/unit,operations,IRENA 2024/CEEW,modeled_estimate,,Site director and department heads.
staffing_coefficient,solar_wind_hybrid_2gw:1321,2 GW Hybrid Solar+Wind Farm (Dedicated RE): Manufacturing Managers,headcount_per_unit,60,workers/unit,construction,IRENA 2024/CEEW,modeled_estimate,,Construction managers and area leads.
staffing_coefficient,solar_wind_hybrid_2gw:1321,2 GW Hybrid Solar+Wind Farm (Dedicated RE): Manufacturing Managers,headcount_per_unit,15,workers/unit,operations,IRENA 2024/CEEW,modeled_estimate,,O&M managers.
staffing_coefficient,solar_wind_hybrid_2gw:2142,2 GW Hybrid Solar+Wind Farm (Dedicated RE): Civil Engineers,headcount_per_unit,300,workers/unit,construction,IRENA 2024/CEEW,modeled_estimate,,"Civil works, road construction, HV substation foundations."
staffing_coefficient,solar_wind_hybrid_2gw:2145,2 GW Hybrid Solar+Wind Farm (Dedicated RE): Chemical Engineers,headcount_per_unit,10,workers/unit,operations,IRENA 2024/CEEW,modeled_estimate,,RE performance optimization and grid compliance engineering.
staffing_coefficient,solar_wind_hybrid_2gw:3113,2 GW Hybrid Solar+Wind Farm (Dedicated RE): Electrical Engineering Technicians,headcount_per_unit,350,workers/unit,construction,IRENA 2024/CEEW,modeled_estimate,,"HV testing, inverter commissioning, SCADA setup."
staffing_coefficient,solar_wind_hybrid_2gw:3113,2 GW Hybrid Solar+Wind Farm (Dedicated RE): Electrical Engineering Technicians,headcount_per_unit,60,workers/unit,operations,IRENA 2024/CEEW,modeled_estimate,,"SCADA monitoring, performance analysis, inverter diagnostics."
staffing_coefficient,solar_wind_hybrid_2gw:3122,2 GW Hybrid Solar+Wind Farm (Dedicated RE): Manufacturing Supervisors,headcount_per_unit,100,workers/unit,construction,IRENA 2024/CEEW,modeled_estimate,,Construction supervision and quality control across distributed site.
staffing_coefficient,solar_wind_hybrid_2gw:3122,2 GW Hybrid Solar+Wind Farm (Dedicated RE): Manufacturing Supervisors,headcount_per_unit,30,workers/unit,operations,IRENA 2024/CEEW,modeled_estimate,,Shift supervisors for maintenance crews.
staffing_coefficient,solar_wind_hybrid_2gw:3152,2 GW Hybrid Solar+Wind Farm (Dedicated RE): Health and Safety Inspectors,headcount_per_unit,200,workers/unit,construction,IRENA 2024/CEEW,modeled_estimate,,Construction-phase HSE oversight for large distributed site.
staffing_coefficient,solar_wind_hybrid_2gw:3152,2 GW Hybrid Solar+Wind Farm (Dedicated RE): Health and Safety Inspectors,headcount_per_unit,30,workers/unit,operations,IRENA 2024/CEEW,modeled_estimate,,"Ongoing site HSE, high-altitude work permits for wind maintenance."
staffing_coefficient,solar_wind_hybrid_2gw:3257,2 GW Hybrid Solar+Wind Farm (Dedicated RE): Environmental and Occupational Health Inspectors and Associates,headcount_per_unit,80,workers/unit,construction,IRENA 2024/CEEW,modeled_estimate,,"Environmental monitoring, land use compliance, wildlife impact."
staffing_coefficient,solar_wind_hybrid_2gw:3257,2 GW Hybrid Solar+Wind Farm (Dedicated RE): Environmental and Occupational Health Inspectors and Associates,headcount_per_unit,20,workers/unit,operations,IRENA 2024/CEEW,modeled_estimate,,Ongoing environmental compliance and wildlife monitoring.
staffing_coefficient,solar_wind_hybrid_2gw:7126,2 GW Hybrid Solar+Wind Farm (Dedicated RE): Plumbers and Pipe Fitters,headcount_per_unit,300,workers/unit,construction,IRENA 2024/CEEW,modeled_estimate,,"Cable conduit installation, cooling systems, foundation drainage."
staffing_coefficient,solar_wind_hybrid_2gw:7212,2 GW Hybrid Solar+Wind Farm (Dedicated RE): Welders and Flame Cutters,headcount_per_unit,500,workers/unit,construction,IRENA 2024/CEEW,modeled_estimate,,Structural welding for wind towers and mounting frames.
staffing_coefficient,solar_wind_hybrid_2gw:7214,2 GW Hybrid Solar+Wind Farm (Dedicated RE): Structural Metal Workers,headcount_per_unit,900,workers/unit,construction,IRENA 2024/CEEW,modeled_estimate,,"Wind tower erection, solar mounting structures, substation steelwork."
staffing_coefficient,solar_wind_hybrid_2gw:7223,2 GW Hybrid Solar+Wind Farm (Dedicated RE): Metal Working Machine Tool Setters and Operators,headcount_per_unit,200,workers/unit,construction,IRENA 2024/CEEW,modeled_estimate,,On-site fabrication of mounting structures and cable trays.
staffing_coefficient,solar_wind_hybrid_2gw:7233,2 GW Hybrid Solar+Wind Farm (Dedicated RE): Agricultural and Industrial Machinery Mechanics and Repairers,headcount_per_unit,150,workers/unit,operations,IRENA 2024/CEEW,modeled_estimate,,"Wind turbine mechanical maintenance, gearbox servicing, blade inspection."
staffing_coefficient,solar_wind_hybrid_2gw:7413,2 GW Hybrid Solar+Wind Farm (Dedicated RE): Electrical Line Installers and Repairers,headcount_per_unit,2200,workers/unit,construction,IRENA 2024/CEEW,modeled_estimate,,"Cable laying, panel wiring, inverter connections. Dominant construction workforce for solar+wind."
staffing_coefficient,solar_wind_hybrid_2gw:7413,2 GW Hybrid Solar+Wind Farm (Dedicated RE): Electrical Line Installers and Repairers,headcount_per_unit,200,workers/unit,operations,IRENA 2024/CEEW,modeled_estimate,,"Electrical maintenance, inverter servicing, cable repair across distributed site."
staffing_coefficient,solar_wind_hybrid_2gw:8211,2 GW Hybrid Solar+Wind Farm (Dedicated RE): Mechanical Machinery Assemblers,headcount_per_unit,350,workers/unit,construction,IRENA 2024/CEEW,modeled_estimate,,"Wind turbine nacelle and rotor assembly, tracker mechanism installation."
staffing_coefficient,solar_wind_hybrid_2gw:8212,2 GW Hybrid Solar+Wind Farm (Dedicated RE): Electrical and Electronic Equipment Assemblers,headcount_per_unit,450,workers/unit,construction,IRENA 2024/CEEW,modeled_estimate,,"Inverter installation, transformer assembly, SCADA panel building."
staffing_coefficient,solar_wind_hybrid_2gw:8343,"2 GW Hybrid Solar+Wind Farm (Dedicated RE): Crane, Hoist and Related Plant Operators",headcount_per_unit,350,workers/unit,construction,IRENA 2024/CEEW,modeled_estimate,,Wind turbine tower and nacelle lifting. Specialized heavy crane operation.
staffing_coefficient,solar_wind_hybrid_2gw:9312,2 GW Hybrid Solar+Wind Farm (Dedicated RE): Civil Engineering Labourers,headcount_per_unit,1600,workers/unit,construction,IRENA 2024/CEEW,modeled_estimate,,"Trenching, panel mounting, foundation earthworks. Highest semi-skilled labor share."
staffing_coefficient,solar_wind_hybrid_2gw:9312,2 GW Hybrid Solar+Wind Farm (Dedicated RE): Civil Engineering Labourers,headcount_per_unit,150,workers/unit,operations,IRENA 2024/CEEW,modeled_estimate,,Solar panel cleaning crews. Labor-intensive in dusty Rajasthan/Gujarat conditions.
